ItemNumber,Date,StoreNumber,StoreName,Address,City,ZipCode,StoreLocation,CountyNumber,County,Category,CategoryName,VendorNumber,VendorName,ItemNumber,ItemDescription,Pack,BottleVolumeml,StateBottleCost,StateBottleRetail,BottlesSold,SaleAmount,VolumeSoldinLiters,VolumeSoldinGallons
INV-68761100143,4/1/2024,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808788647 41.597293418),,POLK,1022200,100% AGAVE TEQUILA,260,DIAGEO AMERICAS,87282,CASAMIGOS BLANCO,12,375,14.5,21.75,2,46.48,0.75,0.19
INV-68765300010,4/1/2024,010208,HAWKEYE CONVENIENCE STORE / CEDAR RAPIDS,250 16TH AVENUE,CEDAR RAPIDS,52404,POINT (-91.667834908 41.961945059),,LINN,1031100,AMERICAN VODKAS,205,E & J GALLO WINERY,36965,NEW AMSTERDAM 80PRF MINI,12,50,4.61,6.92,12,83.04,0.6,0.15
INV-68775100009,4/1/2024,5857,EZ STOP II - DUBUQUE,700 RHOMBERG AVENUE,DUBUQUE,52001,POINT (-90.663145962 42.515597005),,DUBUQUE,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36904,MCCORMICK 80PRF VODKA PET,24,375,1.84,2.76,24,66.24,9,2.37
INV-68777400027,4/1/2024,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.191495014 41.836589003),,CLINTON,1011300,SINGLE BARREL BOURBON WHISKIES,065,JIM BEAM BRANDS,19235,KNOB CREEK SINGLE BARREL RESERVE,6,750,30,45,1,45,0.75,0.19
INV-68773300014,4/1/2024,6121,LIQUOR TOBACCO & VAPE / MANCHESTER,316 E MAIN ST,MANCHESTER,52057,POINT (-91.454478005 42.484348012),,DELAWARE,1031200,AMERICAN FLAVORED VODKA,260,DIAGEO AMERICAS,78128,SMIRNOFF PINK LEMONADE MINI,12,50,4.87,7.31,12,134.52,0.6,0.15
INV-68756300060,4/1/2024,2561,HY-VEE FOOD STORE (1148) / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POINT (-93.642873985 41.542056008),,POLK,1062500,FLAVORED RUM,065,JIM BEAM BRANDS,43848,RONRICO SILVER LABEL RUM,6,1750,7.5,11.25,6,67.5,10.5,2.77
INV-68768100006,4/1/2024,4861,THE STATION / CEDAR RAPIDS,3645 STONE CREEK CIRCLE SW,CEDAR RAPIDS,52404,POINT (-91.74711078 41.943623601),,LINN,1031100,AMERICAN VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.5,5.25,12,63,9,2.37
INV-68767200040,4/1/2024,2508,HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,POINT (-91.698432542 41.973867687),,LINN,1071000,COCKTAILS/RTD,065,JIM BEAM BRANDS,63319,ON THE ROCKS COCKTAILS EFFEN COSMOPOLITAN,12,375,6.5,9.75,6,58.5,2.25,0.59
INV-68771100148,4/1/2024,010271,SMOKE VIBEZ / DAVENPORT,3819 NORTH BRADY STREET,DAVENPORT,52806,POINT (-90.567890997 41.558963019),,SCOTT,1022200,100% AGAVE TEQUILA,035,BACARDI USA INC,88296,PATRON SILVER,12,750,28,42,12,504,9,2.37
INV-68769200094,4/1/2024,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,POINT (-90.513862004 41.577311005),,SCOTT,1022200,100% AGAVE TEQUILA,434,LUXCO INC,87596,EL MAYOR BLANCO,6,750,16,24,6,144,4.5,1.18
INV-68771500117,4/1/2024,010165,SUPER MARKET / DAVENPORT,6723 NORTHWEST BOULEVARD,DAVENPORT,52806,POINT (-90.608956036 41.589559983),,SCOTT,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,86670,JACK DANIELS TENNESSEE HONEY,12,750,15.91,23.87,1,23.87,0.75,0.19
INV-68770200002,4/1/2024,010065,MADELLA WINE AND SPIRITS / BETTENDORF,3263 MOENCKS COURT UNIT 3265,BETTENDORF,52722,POINT (-90.4491193 41.555967972),,SCOTT,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28867,TANQUERAY GIN,12,1000,15.99,23.99,24,575.76,24,6.34
INV-68761500004,4/1/2024,010272,UNIVERSITY LIQUORS / WEST DES MOINES,9250 UNIVERSITY AVE SUITE 114,WEST DES MOINES,50266,POINT (-93.834537013 41.599596013),,POLK,1022200,100% AGAVE TEQUILA,420,MOET HENNESSY USA,85059,VOLCAN REPOSADO UPGRADE,6,750,33.49,50.24,3,150.72,2.25,0.59
INV-68764900014,4/1/2024,5481,TOBACCO OUTLET & LIQUOR,1545 1ST AVE SE,CEDAR RAPIDS,52402,POINT (-91.650662316 41.988794935),,LINN,1022100,MIXTO TEQUILA,395,PROXIMO,89199,JOSE CUERVO ESPECIAL REPOSADO SQUARE,12,375,6.53,9.8,12,117.6,4.5,1.18
INV-68773600022,4/1/2024,5774,CASEY'S GENERAL STORE #3854  / MANCHESTER,1305 W COMMERCIAL ST,MANCHESTER,52057,POINT (-91.482712026 42.468445991),,DELAWARE,1091300,NEUTRAL GRAIN SPIRITS FLAVORED,346,OLE SMOKY DISTILLERY LLC,76412,OLE SMOKY BUTTER PECAN MOONSHINE MINI,8,50,8.75,13.13,16,210.08,0.8,0.21
INV-68767700014,4/1/2024,4921,MARKET EXPRESS,5340 16TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.739775358 41.964508664),,LINN,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34001,ABSOLUT SWEDISH VODKA 80PRF MINI,10,50,7.92,11.88,1,11.88,0.05,0.01
INV-68760700025,4/1/2024,6260,SUPERQUICK LIQUOR VINE / WEST DES MOINES,2704 VINE STREET,WEST DES MOINES,50265,POINT (-93.741798966 41.579945018),,POLK,1031200,AMERICAN FLAVORED VODKA,205,E & J GALLO WINERY,40594,NEW AMSTERDAM PEACH,12,750,8,12,2,24,1.5,0.39
INV-68780500019,4/1/2024,5734,FAREWAY STORES #193 / TIFFIN,500 CROELL AVENUE,TIFFIN,52340,POINT (-91.656243406 41.707860069),,JOHNSON,1031200,AMERICAN FLAVORED VODKA,205,E & J GALLO WINERY,40193,NEW AMSTERDAM PINEAPPLE,12,750,8,12,4,48,3,0.79
INV-68754100048,4/1/2024,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.594780971 41.554268986),,POLK,1091200,NEUTRAL GRAIN SPIRITS,434,LUXCO INC,41846,EVERCLEAR 151,12,750,9,13.5,12,162,9,2.37
INV-68759800003,4/1/2024,2683,HY-VEE FAST & FRESH / WDM,425 S JORDAN CREEK PKWY,WEST DES MOINES,50266,POINT (-93.810554963 41.563474998),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL,24,375,8.49,12.74,4,50.96,1.5,0.39
INV-68778800012,4/1/2024,010118,TIGER MART / TIPTON,51 CEDAR ST.,TIPTON,52772,POINT (-91.128892028 41.764995019),,CEDAR,1062200,WHITE RUM,035,BACARDI USA INC,43121,BACARDI SUPERIOR MINI,12,50,5.54,8.31,12,99.72,0.6,0.15
INV-68767500024,4/1/2024,5176,SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,455 EDGEWOOD RD NW,CEDAR RAPIDS,52405,POINT (-91.715411261 41.978044809),,LINN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKEY,24,375,5.33,8,24,192,9,2.37
INV-68780200028,4/1/2024,3776,WAL-MART 5115 / DAVENPORT,3101 WEST KIMBERLY RD,DAVENPORT,52806,POINT (-90.622636979 41.557414002),,SCOTT,1062400,SPICED RUM,395,PROXIMO,46506,KRAKEN BLACK SPICED RUM,6,1750,17.5,26.25,6,157.5,10.5,2.77
INV-68761400041,4/1/2024,010272,UNIVERSITY LIQUORS / WEST DES MOINES,9250 UNIVERSITY AVE SUITE 114,WEST DES MOINES,50266,POINT (-93.834537013 41.599596013),,POLK,1011400,TENNESSEE WHISKIES,346,OLE SMOKY DISTILLERY LLC,76502,OLE SMOKY COOKIE DOUGH WHISKEY,6,750,11,16.5,6,99,4.5,1.18
INV-68756200034,4/1/2024,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.601863361 41.526227002),,POLK,1041100,AMERICAN DRY GINS,421,SAZERAC COMPANY  INC,30057,FLEISCHMANNS GIN,12,1000,3.5,5.25,12,63,12,3.17
INV-68771500060,4/1/2024,010165,SUPER MARKET / DAVENPORT,6723 NORTHWEST BOULEVARD,DAVENPORT,52806,POINT (-90.608956036 41.589559983),,SCOTT,1062400,SPICED RUM,259,HEAVEN HILL BRANDS,43024,ADMIRAL NELSON SPICED,24,375,3.25,4.88,7,34.16,2.62,0.69
INV-68766200008,4/1/2024,4126,SAM'S MAINSTREET MARKET / SOLON,123 E MAIN ST,SOLON,52333,POINT (-91.49462028 41.806968237),,JOHNSON,1031100,AMERICAN VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8,12,12,144,9,2.37
INV-68774900020,4/1/2024,2721,HY-VEE C-STORE #3 / DUBUQUE,300 S LOCUST,DUBUQUE,52003,POINT (-90.664055986 42.488579993),,DUBUQUE,1082200,IMPORTED SCHNAPPS,421,SAZERAC COMPANY  INC,69609,DR MCGILLICUDDYS APPLE PIE MINI,12,50,5,7.5,1,7.5,0.05,0.01
INV-68771500046,4/1/2024,010165,SUPER MARKET / DAVENPORT,6723 NORTHWEST BOULEVARD,DAVENPORT,52806,POINT (-90.608956036 41.589559983),,SCOTT,1031100,AMERICAN VODKAS,255,INFINIUM SPIRITS,37888,SEAGRAMS EXTRA SMOOTH VODKA,6,1750,10,15,3,45,5.25,1.38
INV-68771100102,4/1/2024,010271,SMOKE VIBEZ / DAVENPORT,3819 NORTH BRADY STREET,DAVENPORT,52806,POINT (-90.567890997 41.558963019),,SCOTT,1052100,IMPORTED BRANDIES,389,REMY COINTREAU USA INC,49189,REMY MARTIN VSOP,24,200,8.34,12.51,24,292.08,4.8,1.26
INV-68768600004,4/1/2024,4070,GRIEDER BEVERAGE DEPOT,708  13TH ST,BELLE PLAINE,52208,POINT (-92.277218966 41.897301014),,BENTON,1012100,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,11348,SEAGRAMS VO CANADIAN WHISKEY PET,6,1750,11.49,17.24,6,103.44,10.5,2.77
INV-68780500029,4/1/2024,5734,FAREWAY STORES #193 / TIFFIN,500 CROELL AVENUE,TIFFIN,52340,POINT (-91.656243406 41.707860069),,JOHNSON,1071000,COCKTAILS/RTD,395,PROXIMO,58875,JOSE CUERVO GOLDEN MARGARITA,6,1750,11.04,16.56,1,16.56,1.75,0.46
INV-68759400003,4/1/2024,4371,KUM & GO #50 / WEST DES MOINES,745 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773794032 41.558419998),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10858,CROWN ROYAL GOLDEN APPLE,3,750,124.99,187.49,1,187.49,0.75,0.19
INV-68764600009,4/1/2024,010300,ESSENTIALS / CEDAR RAPIDS,1500 1ST AVENUE NE,CEDAR RAPIDS,52402,POINT (-91.652354957 41.988484595),,LINN,1031100,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12,1000,4.35,6.53,12,78.36,12,3.17
INV-68754600097,4/1/2024,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613286034 41.605834999),,POLK,1081300,AMERICAN CORDIALS & LIQUEURS,065,JIM BEAM BRANDS,85526,DEKUYPER BLUE CURACAO,12,750,5.25,7.88,24,189.12,18,4.75
INV-68780300062,4/1/2024,2554,HY-VEE FOOD STORE #1 (1105) / DAVENPORT,3019 ROCKINGHAM ROAD,DAVENPORT,52802,POINT (-90.620012018 41.510032989),,SCOTT,1081300,AMERICAN CORDIALS & LIQUEURS,619,CAMPARI AMERICA,77776,WILD TURKEY AMERICAN HONEY,12,750,11.5,17.25,3,51.75,2.25,0.59
INV-68767100099,4/1/2024,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,POINT (-91.715523662 41.96408718),,LINN,1032100,IMPORTED VODKAS,260,DIAGEO AMERICAS,34456,KETEL ONE,12,750,11.33,17,2,34,1.5,0.39
INV-68761100027,4/1/2024,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808788647 41.597293418),,POLK,1011200,STRAIGHT BOURBON WHISKIES,085,BROWN FORMAN CORP.,20366,OLD FORESTER BOURBON 86PRF,12,750,12,18,12,216,9,2.37
INV-68769300007,4/1/2024,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,POINT (-90.513862004 41.577311005),,SCOTT,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LABEL FLAT,24,375,8.25,12.38,6,74.28,2.25,0.59
INV-68770300019,4/1/2024,010065,MADELLA WINE AND SPIRITS / BETTENDORF,3263 MOENCKS COURT UNIT 3265,BETTENDORF,52722,POINT (-90.4491193 41.555967972),,SCOTT,1042100,IMPORTED DRY GINS,240,WILLIAM GRANT & SONS INC,28627,HENDRICKS GIN,6,1000,21.67,32.51,12,390.12,12,3.17
INV-68765700050,4/1/2024,3417,BIG G FOOD STORE,PO BOX 261  310 W DILLON,MARENGO,52301,POINT (-92.072554013 41.791099995),,IOWA,1071000,COCKTAILS/RTD,902,"ZING ZANG, LLC",63851,ZING ZANG BLOODY MARY RTS,6,1750,8.31,12.47,2,24.94,3.5,0.92
INV-68763800071,4/1/2024,2552,HY-VEE FOOD STORE #3 (1056) / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT (-91.657126938 41.955893982),,LINN,1062400,SPICED RUM,259,HEAVEN HILL BRANDS,43024,ADMIRAL NELSON SPICED,24,375,3.25,4.88,24,117.12,9,2.37
INV-68780300064,4/1/2024,2554,HY-VEE FOOD STORE #1 (1105) / DAVENPORT,3019 ROCKINGHAM ROAD,DAVENPORT,52802,POINT (-90.620012018 41.510032989),,SCOTT,1031200,AMERICAN FLAVORED VODKA,260,DIAGEO AMERICAS,78133,SMIRNOFF PINK LEMONADE,12,750,8.25,12.38,2,24.76,1.5,0.39
INV-68758000022,4/1/2024,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,POINT (-90.612322963 41.536627007),,SCOTT,1011200,STRAIGHT BOURBON WHISKIES,260,DIAGEO AMERICAS,17085,BULLEIT BOURBON,12,375,8.74,13.11,5,65.55,1.87,0.49
INV-68779500035,4/1/2024,2512,HY-VEE WINE AND SPIRITS #1 (1281) / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.529426133 41.642516428),,JOHNSON,1052100,IMPORTED BRANDIES,255,INFINIUM SPIRITS,51739,TORRES 10 BRANDY,6,750,10.99,16.49,6,98.94,4.5,1.18
INV-68758000091,4/1/2024,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,POINT (-90.612322963 41.536627007),,SCOTT,1071000,COCKTAILS/RTD,370,PERNOD RICARD USA,63089,OLMECA ALTOS STRAWBERRY MARGARITA RTS,6,750,7.49,11.24,6,67.44,4.5,1.18
INV-68763900020,4/1/2024,5094,CASEY'S GENERAL STORE #2778 / CEDAR,"201, 8TH AVE SE",CEDAR RAPIDS,52401,POINT (-91.662052233 41.972681774),,LINN,1062400,SPICED RUM,259,HEAVEN HILL BRANDS,43024,ADMIRAL NELSON SPICED,24,375,3.25,4.88,24,117.12,9,2.37
INV-68778700068,4/1/2024,4269,TIPTON FAMILY FOODS,610 CEDAR ST,TIPTON,52772,POINT (-91.12743802 41.771641994),,CEDAR,1022100,MIXTO TEQUILA,395,PROXIMO,89194,JOSE CUERVO ESPECIAL REPOSADO FLASK,24,375,6.53,9.8,6,58.8,2.25,0.59
INV-68760400007,4/1/2024,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266,POINT (-93.810554963 41.563474998),,DALLAS,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19486,MAKERS 46,6,750,20,30,180,5400,135,35.66
INV-68768700007,4/1/2024,4025,KARAM KAUR KHASRIYA LLC,702 13TH ST,BELLE PLAINE,52208,POINT (-92.277701009 41.897244981),,BENTON,1062400,SPICED RUM,260,DIAGEO AMERICAS,43334,CAPTAIN MORGAN ORIGINAL SPICED,24,375,5.24,7.86,24,188.64,9,2.37
INV-68754400032,4/1/2024,2528,HY-VEE FOOD STORE #3 (1142) / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POINT (-93.594780971 41.554268986),,POLK,1082100,IMPORTED CORDIALS & LIQUEURS,619,CAMPARI AMERICA,64147,APEROL,6,750,15,22.5,6,135,4.5,1.18
INV-68763000025,4/1/2024,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659639837 41.975513265),,LINN,1081500,TRIPLE SEC,065,JIM BEAM BRANDS,86112,DEKUYPER TRIPLE SEC,12,1000,2.33,3.5,24,84,24,6.34
INV-68767100045,4/1/2024,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,POINT (-91.715523662 41.96408718),,LINN,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19498,MAKERS MARK 101,6,750,20,30,1,30,0.75,0.19
INV-68770800010,4/1/2024,2840,CVS PHARMACY #8633 / BETTENDORF,2002 SPRUCE HILLS DRIVE,BETTENDORF,52722,POINT (-90.503389989 41.550700013),,SCOTT,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,38006,SMIRNOFF 80PRF PET,12,750,8.25,12.38,12,148.56,9,2.37
INV-68754600030,4/1/2024,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613286034 41.605834999),,POLK,1031100,AMERICAN VODKAS,777,"BLUE OX SPIRITS, INC.",36874,BLUE OX VODKA,12,1000,4.76,7.14,120,856.8,120,31.7
INV-68762200034,4/1/2024,6119,ALLCOOL LIQUORS / WDM,5904 ASHWORTH RD,WEST DES MOINES,50266,POINT (-93.789130987 41.583797006),,POLK,1081500,TRIPLE SEC,065,JIM BEAM BRANDS,86112,DEKUYPER TRIPLE SEC,12,1000,2.33,3.5,12,42,12,3.17
INV-68767500007,4/1/2024,5176,SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,455 EDGEWOOD RD NW,CEDAR RAPIDS,52405,POINT (-91.715411261 41.978044809),,LINN,1031100,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,2,3,24,72,9,2.37
INV-68777700008,4/1/2024,6000,PORTERS CONVENIENCE 66 / CLINTON,1512 LINCOLN WAY,CLINTON,52732,POINT (-90.222037998 41.817733996),,CLINTON,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64864,FIREBALL CINNAMON WHISKEY,24,375,5.33,8,24,192,9,2.37
INV-68772700004,4/1/2024,5070,JEFF'S MARKET / WILTON,101 E 4TH ST,WILTON,52778,POINT (-91.016552984 41.589060003),,MUSCATINE,1012100,CANADIAN WHISKIES,395,PROXIMO,14192,PENDLETON CANADIAN WHISKEY,12,750,15,22.5,1,22.5,0.75,0.19
INV-68771100064,4/1/2024,010271,SMOKE VIBEZ / DAVENPORT,3819 NORTH BRADY STREET,DAVENPORT,52806,POINT (-90.567890997 41.558963019),,SCOTT,1031100,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,37934,SKOL VODKA,24,375,1.74,2.61,24,62.64,9,2.37
INV-68765200048,4/1/2024,5207,JIM'S FOODS  /  CEDAR RAPIDS,"812, SIXTH  ST SW",CEDAR RAPIDS,52404,POINT (-91.677523214 41.967933384),,LINN,1071000,COCKTAILS/RTD,395,PROXIMO,58910,JOSE CUERVO GRAPEFRUIT TANGERINE,6,200,4.64,6.96,6,41.76,1.2,0.31
INV-68763500085,4/1/2024,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT (-91.698522983 42.029484381),,LINN,1022200,100% AGAVE TEQUILA,035,BACARDI USA INC,89121,CAZADORES REPOSADO,12,750,14.5,21.75,3,65.25,2.25,0.59
INV-68774900015,4/1/2024,2721,HY-VEE C-STORE #3 / DUBUQUE,300 S LOCUST,DUBUQUE,52003,POINT (-90.664055986 42.488579993),,DUBUQUE,1031100,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,37935,SKOL VODKA PET,12,750,3.66,5.49,12,65.88,9,2.37
INV-68778400006,4/1/2024,010241,"FAREWAY STORES, INC. #237 / LE CLAIRE",1301 EAGLE RIDGE ROAD,LE CLAIRE,52753,POINT (-90.359991971 41.588211),,SCOTT,1011500,BOTTLED IN BOND BOURBON,259,HEAVEN HILL BRANDS,16017,HEAVEN HILL BOTTLED-IN-BOND 7YR,6,750,25,37.5,1,37.5,0.75,0.19
INV-68780000030,4/1/2024,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.54879501 41.554922984),,SCOTT,1031200,AMERICAN FLAVORED VODKA,259,HEAVEN HILL BRANDS,40329,DEEP EDDY RUBY RED GRAPEFRUIT,6,1750,16,24,6,144,10.5,2.77
INV-68759600019,4/1/2024,5340,KUM & GO #532/ WEST DSM,5901 MILLS CIVIC PKWY #2000,WEST DES MOINES,50266,POINT (-93.786899975 41.559747021),,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,43331,CAPTAIN MORGAN ORIGINAL SPICED MINI,12,50,4.8,7.2,12,86.4,0.6,0.15
INV-68766500013,4/1/2024,5813,CASEY'S GENERAL STORE #2791 / CEDAR RAPIDS,9125 ATLANTIC DR SW,CEDAR RAPIDS,52404,POINT (-91.678598529 41.891454049),,LINN,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,18,27,6,162,4.5,1.18
INV-68763000007,4/1/2024,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659639837 41.975513265),,LINN,1011200,STRAIGHT BOURBON WHISKIES,536,OLD ELK DISTILLERIES LLC,20300,OLD ELK WHEAT BOURBON,6,750,37.5,56.25,2,112.5,1.5,0.39
INV-68762200011,4/1/2024,6119,ALLCOOL LIQUORS / WDM,5904 ASHWORTH RD,WEST DES MOINES,50266,POINT (-93.789130987 41.583797006),,POLK,1031100,AMERICAN VODKAS,205,E & J GALLO WINERY,36967,NEW AMSTERDAM 80PRF,24,200,1.99,2.99,24,71.76,4.8,1.26
INV-68756200066,4/1/2024,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.601863361 41.526227002),,POLK,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38176,TITOS HANDMADE VODKA,12,750,10,15,120,1800,90,23.77
INV-68759200003,4/1/2024,5347,KUM & GO #1097 / 50TH WDM,220 50TH ST,WEST DES MOINES,50265,POINT (-93.771377026 41.572201984),,POLK,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,19064,JIM BEAM,24,375,5.6,8.4,10,84,3.75,0.99
INV-68754100080,4/1/2024,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.594780971 41.554268986),,POLK,1082100,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65257,JAGERMEISTER LIQUEUR,12,1000,17.42,26.13,36,940.68,36,9.51
INV-68766700008,4/1/2024,5646,IOWA SMOKE AND LIQUOR,70 KIRKWOOD COURT SW,CEDAR RAPIDS,52404,POINT (-91.655432541 41.921680408),,LINN,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,11,16.5,3,49.5,2.25,0.59
INV-68777600043,4/1/2024,3920,SMOKIN' JOE'S #11 TOBACCO AND LIQUOR OUTLET,1606 CAMANCHE AVE,CLINTON,52732,POINT (-90.204510014 41.828481984),,CLINTON,1022200,100% AGAVE TEQUILA,035,BACARDI USA INC,88291,PATRON SILVER MINI,10,50,23,34.5,1,34.5,0.05,0.01
INV-68756200089,4/1/2024,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.601863361 41.526227002),,POLK,1062200,WHITE RUM,434,LUXCO INC,45278,PARAMOUNT WHITE RUM,6,1750,8,12,6,72,10.5,2.77
INV-68766600001,4/1/2024,5417,CASEY'S GENERAL STORE # 2792/CEDAR RAPIDS,9001 6TH STREET SW,CEDAR RAPIDS,52404,POINT (-91.673298567 41.889379109),,LINN,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-68767100077,4/1/2024,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,POINT (-91.715523662 41.96408718),,LINN,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,27410,JIM BEAM HONEY,12,750,11,16.5,1,16.5,0.75,0.19
INV-68767400025,4/1/2024,5945,CASEY'S GENERAL STORE #3899 / CEDAR RAPIDS,235 EDGEWOOD RD NW,CEDAR RAPIDS,52405,POINT (-91.715304475 41.974228947),,LINN,1062400,SPICED RUM,259,HEAVEN HILL BRANDS,43026,ADMIRAL NELSON SPICED,12,750,6.5,9.75,12,117,9,2.37
INV-68777100016,4/1/2024,010035,LIQUOR TOBACCO & VAPE / CLINTON,122 SOUTH 2ND STREET,CLINTON,52732,POINT (-90.188620021 41.844669996),,CLINTON,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,50,25.8,38.7,1,38.7,0.05,0.01
INV-68754100122,4/1/2024,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.594780971 41.554268986),,POLK,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,86694,JACK DANIELS TENNESSEE FIRE,6,1750,33.28,49.92,6,299.52,10.5,2.77
INV-68776800047,4/1/2024,2806,OSCO #1118 / CLINTON,1307 N SECOND,CLINTON,52732,POINT (-90.184210972 41.85880201),,CLINTON,1081300,AMERICAN CORDIALS & LIQUEURS,434,LUXCO INC,78866,PARAMOUNT CREME DE CACAO WHITE,12,750,5.25,7.88,12,94.56,9,2.37
INV-68779300003,4/1/2024,5407,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,602 S HIGHLAND,WILLIAMSBURG,52361,POINT (-92.007697025 41.660401985),,IOWA,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,5.91,8.87,6,53.22,0.3,0.07
INV-68763900007,4/1/2024,5094,CASEY'S GENERAL STORE #2778 / CEDAR,"201, 8TH AVE SE",CEDAR RAPIDS,52401,POINT (-91.662052233 41.972681774),,LINN,1032100,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,12,179.88,9,2.37
